,manual,datta,fair_flanner,herzfeld,jasinski,magruder,moussavi_pope,spergel_kingslake,arndt,med_algorithms,pond
-72.9969,0.0,,,0.0,,0.0,0.0,0.0,0.0,,1
-72.99689,0.0,,,0.0,,0.0,0.0,0.0,0.0,,1
-72.99687999999999,0.0,,,0.0,,0.0,0.0,0.0,0.0,,1
-72.99686999999999,0.0,,,0.0,,0.0,0.0,0.0,0.0,,1
-72.99685999999998,0.0,,,0.0,,0.0,0.0,0.0,0.0,,1
-72.99684999999998,0.0,,,0.0,,0.0,0.0,0.0,0.0,,1
-72.99683999999998,0.0,,,0.0,,0.0,0.0,0.0,0.0,,1
-72.99682999999997,0.0,,,0.0,,0.0,0.0,0.0,0.0,,1
-72.99681999999997,0.0,,,0.0,,0.0,0.0,0.0,0.0,,1
-72.99680999999997,0.0,,,0.0,,0.0,0.0,0.0,0.0,,1
-72.99679999999996,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,1
-72.99678999999996,0.0,,,0.0,,0.0,0.03387435221291062,0.0,0.0,0.0,1
-72.99677999999996,0.0,,,0.0,,0.0,0.086848446806157,0.0,0.0,0.0,1
-72.99676999999996,0.0,,,0.0,,0.0,0.1366523404904745,0.0,0.0,0.0,1
-72.99675999999995,0.0,,,0.0,,0.0,0.1832860298611453,0.0,0.0,0.0,1
-72.99674999999995,0.0,,,0.03411151331948905,,0.0,0.22674951164276846,0.0,0.0,0.0,1
-72.99673999999995,0.0,,,0.11690803529977434,,0.0,0.26698315859842126,0.0,0.0,0.0,1
-72.99672999999994,0.0,,,0.19970455728005965,,0.0,0.3040389504617122,0.0,0.0,0.0,1
-72.99671999999994,0.0,,,0.28250107926034496,,0.0,0.33792452442225784,0.0,0.0,0.0,1
-72.99670999999994,0.0,,,0.3652976012406302,,0.0,0.36865069143425433,0.0,0.0,0.0,1
-72.99669999999993,0.0,,,0.4480941232209155,,0.0,0.3987463493891526,0.0,0.0,0.0,1
-72.99668999999993,0.0,,,0.5308906452012008,,0.0,0.43127281451496785,0.0,0.0,0.04393155361225811,1
-72.99667999999993,0.0,,,0.6136871671814861,,0.0,0.4652211620418378,0.0,0.0,0.08981947426987595,1
-72.99666999999992,0.0,,,0.6964836891617714,,0.0,0.5005628088603041,0.0,0.0,0.13701325413073323,1
-72.99665999999992,0.0,,,0.7792802111420569,,0.0,0.5372972696394523,0.0,0.0,0.18584799043850614,1
-72.99664999999992,0.0,,,0.8620767331223465,,0.0,0.5754245458519053,0.0,0.0,0.23717411927976428,1
-72.99663999999991,0.0,,,0.944873255102636,,0.0,0.6149446389215768,0.0,0.0,0.2912014410121023,1
-72.99662999999991,0.0,,,1.0276697770829255,,0.0,0.6558599511297191,0.0,0.0,0.34697621763667674,1
-72.99661999999991,0.0,,,1.1104662990632153,,0.0,0.6981952410335592,0.0,0.0,0.38179245540908635,1
-72.9966099999999,0.0,,,1.1932628210435048,,0.0,0.7295545169182878,0.0,0.0,0.4221234085495188,1
-72.9965999999999,0.6663308430578702,,,1.2760593430237943,,0.8786310722451622,0.7508668352795567,0.0,0.0,0.4675032407491709,1
-72.9965899999999,0.7124353443598856,,,1.3588558650040838,,0.917758413152357,0.7779568183197784,0.00043176336315654893,0.0,0.5191742971449885,1
-72.9965799999999,0.7861953702623671,,,1.4416523869843734,,0.9438755972171456,0.8108244721913518,0.0010232200165636752,0.0,0.576535411769925,1
-72.99656999999989,0.7854870269499463,,,1.5244489089646631,,0.9766947261554583,0.8494917393770592,0.0016146766699708015,0.0,0.640415329952045,1
-72.99655999999989,0.8866560614027748,,,1.58200438599847,,1.026522576825163,0.8940373676360606,0.0022061333233779276,0.0,0.7121168475507528,1
-72.99654999999989,0.9423361969708911,,,1.6267235702323002,,1.0805464346467604,0.9443606853574886,0.002797589976785054,0.0,0.7881961128586185,1
-72.99653999999988,1.0699380646015075,,,1.6714427544661303,,1.115495532491489,1.0004588913019168,0.0033890466301921803,0.06444122735615461,0.8708088054360432,1
-72.99652999999988,1.2183507507998061,0.14862696397744524,,1.7161619386999605,,1.1674459127802217,1.0623168881012912,0.003980503283599306,0.22520359811616178,0.9589598364235716,1
-72.99651999999988,1.3394953174041007,0.26968321930435313,,1.7608811229337906,,1.2286463718123533,1.0993098379600919,0.004571959937006433,0.38459175380494426,1.0505883994117813,1
-72.99650999999987,1.4592591607507746,0.3977878524707383,,1.8056003071676208,,1.2804227174366543,1.0901752154500624,0.005163416590413559,0.5347705705494287,1.146111754812023,1
-72.99649999999987,1.5933323500444172,0.530823404190467,,1.850319491401451,,1.3300921348868766,1.0824687756125957,0.005754873243820686,0.736750120945829,1.2438372459887517,1
-72.99648999999987,1.7038677947764163,0.5920130285682202,,1.895038675635281,,1.3718508828125286,1.076168893856408,0.0063463298972278115,0.9225937021849273,1.301364206015037,1
-72.99647999999986,1.8109357626915366,0.7433387025602034,,1.9397578598691079,,1.4373965124630785,1.0712755717883726,0.006937786550634937,1.1178002148217216,1.3600110763879438,1
-72.99646999999986,1.903375745774911,0.9032785665904902,,1.9844770441029262,,1.5021249523239653,1.0677888109212406,0.007529243204042064,1.3659357516243453,1.42081569539747,1
-72.99645999999986,1.9737508935542891,1.0478115913079746,,2.0291962283367444,,1.5649234545845752,1.0657086126666921,0.00812069985744919,1.4782471577300527,1.484264563879762,1
-72.99644999999985,2.0430736530847184,1.192418981574433,,2.0739154125705626,2.0688214858002247,1.6522538515484966,1.0650460077889328,0.008712156510856316,1.6077001360984216,1.5483212697457371,1
