FID,Z,Lat,Lon
0,0.000000000000000,-73.0110016,67.2490005
1,0.000000000000000,-73.0106964,67.2490997
2,0.159400000004000,-73.0104980,67.2492981
3,22.265699999999999,-73.0102005,67.2493973
4,150.983800000000000,-73.0099030,67.2494965
5,448.736499999999980,-73.0096970,67.2496033
6,542.150200000000040,-73.0093994,67.2498016
7,127.844700000000000,-73.0091019,67.2499008
8,27.349399999999999,-73.0089035,67.2500000
9,8.387900000000000,-73.0085983,67.2501984
10,0.000000000000000,-73.0083008,67.2502975
11,0.000000000000000,-73.0081024,67.2503967
12,0.000000000000000,-73.0077972,67.2505035
13,0.000000000000000,-73.0074997,67.2507019
14,0.000000000000000,-73.0073013,67.2508011
15,0.000000000000000,-73.0070038,67.2509003
16,0.000000000000000,-73.0067978,67.2510986
17,0.000000000000000,-73.0065002,67.2511978
18,0.000000000000000,-73.0062027,67.2512970
19,0.000000000000000,-73.0059967,67.2514038
20,0.000000000000000,-73.0056992,67.2516022
21,0.000000000000000,-73.0054016,67.2517014
22,0.000000000000000,-73.0050964,67.2518005
23,0.000000000000000,-73.0048981,67.2519989
24,0.000000000000000,-73.0046005,67.2520981
25,0.000000000000000,-73.0043030,67.2521973
26,0.000000000000000,-73.0040970,67.2522964
27,0.000000000000000,-73.0037994,67.2525024
28,0.000000000000000,-73.0036011,67.2526016
29,0.000000000000000,-73.0033035,67.2527008
30,0.000000000000000,-73.0029984,67.2528992
31,0.000000000000000,-73.0028000,67.2529984
32,0.000000000000000,-73.0025024,67.2530975
33,0.000000000000000,-73.0021973,67.2533035
34,0.000000000000000,-73.0019989,67.2534027
35,0.000000000000000,-73.0017014,67.2535019
36,0.000000000000000,-73.0014038,67.2536011
37,0.000000000000000,-73.0011978,67.2537994
38,0.000000000000000,-73.0009003,67.2538986
39,0.000000000000000,-73.0006027,67.2539978
40,0.000000000000000,-73.0003967,67.2542038
41,0.000000000000000,-73.0000992,67.2543030
42,0.000000000000000,-72.9998016,67.2544022
43,0.000000000000000,-72.9996033,67.2545013
44,0.000000000000000,-72.9992981,67.2546997
45,0.000000000000000,-72.9990005,67.2547989
46,0.000000000000000,-72.9988022,67.2548981
47,0.000000000000000,-72.9984970,67.2550964
48,0.000000000000000,-72.9981995,67.2552032
49,0.000000000000000,-72.9980011,67.2553024
50,0.000000000000000,-72.9977036,67.2554016
51,0.000000000000000,-72.9973984,67.2556000
52,0.000000000000000,-72.9972000,67.2556992
53,0.000000000000000,-72.9969025,67.2557983
54,0.000000000000000,-72.9965973,67.2558975
55,11.734500000000001,-72.9963989,67.2561035
56,441.143399999999990,-72.9961014,67.2562027
57,640.941500000000020,-72.9957962,67.2563019
58,318.007200000000010,-72.9955978,67.2565002
59,379.987599999999990,-72.9953003,67.2565994
60,372.958800000000000,-72.9950027,67.2566986
61,75.905100000000004,-72.9947968,67.2567978
62,173.712899999999990,-72.9944992,67.2570038
63,449.622300000000000,-72.9942017,67.2571030
64,477.995400000000020,-72.9940033,67.2572021
65,356.706500000000010,-72.9936981,67.2574005
66,189.960399999999990,-72.9934006,67.2574997
67,0.000000000000000,-72.9932022,67.2575989
68,136.791900000000000,-72.9928970,67.2576981
69,173.757299999999990,-72.9925995,67.2578964
70,104.462000000000000,-72.9924011,67.2580032
71,37.675100000000000,-72.9921036,67.2581024
72,328.368800000000020,-72.9917984,67.2583008
73,618.225100000000000,-72.9916000,67.2584000
74,913.663900000000010,-72.9913025,67.2584991
75,1341.105499999999900,-72.9909973,67.2585983
76,1086.896900000000000,-72.9907990,67.2587967
77,1169.583200000000000,-72.9905014,67.2589035
78,1109.418500000000000,-72.9901962,67.2590027
79,844.020499999999970,-72.9899979,67.2592010
80,349.826700000000020,-72.9897003,67.2593002
81,0.000000000000000,-72.9894028,67.2593994
82,0.000000000000000,-72.9891968,67.2594986
83,0.000000000000000,-72.9888992,67.2596970
84,0.000000000000000,-72.9886017,67.2598038
85,0.000000000000000,-72.9884033,67.2599030
86,0.000000000000000,-72.9880981,67.2601013
87,0.000000000000000,-72.9878006,67.2602005
88,0.000000000000000,-72.9876022,67.2602997
89,0.000000000000000,-72.9872971,67.2603989
90,0.000000000000000,-72.9869995,67.2605972
91,0.000000000000000,-72.9868011,67.2606964
92,0.000000000000000,-72.9865036,67.2608032
93,0.000000000000000,-72.9861984,67.2609024
94,0.000000000000000,-72.9860001,67.2611008
95,0.000000000000000,-72.9857025,67.2612000
96,0.000000000000000,-72.9853973,67.2612991
97,0.000000000000000,-72.9851990,67.2614975
98,0.000000000000000,-72.9849014,67.2615967
99,0.000000000000000,-72.9845963,67.2617035
100,0.000000000000000,-72.9843979,67.2618027
101,0.000000000000000,-72.9841003,67.2620010
102,0.000000000000000,-72.9838028,67.2621002
103,0.000000000000000,-72.9835968,67.2621994
104,0.000000000000000,-72.9832993,67.2623978
105,0.000000000000000,-72.9830017,67.2624969
106,0.000000000000000,-72.9828033,67.2626038
107,0.000000000000000,-72.9824982,67.2627029
108,0.000000000000000,-72.9822006,67.2629013
109,0.000000000000000,-72.9820023,67.2630005
