FID,Z,Lat,Lon
0,0.000000000000000,-71.8830032,67.7570038
1,0.000000000000000,-71.8826981,67.7571030
2,0.000000000000000,-71.8824997,67.7572021
3,0.000000000000000,-71.8822021,67.7573013
4,0.000000000000000,-71.8818970,67.7574005
5,0.000000000000000,-71.8816986,67.7575989
6,0.000000000000000,-71.8814011,67.7576981
7,0.000000000000000,-71.8811035,67.7577972
8,0.000000000000000,-71.8808975,67.7578964
9,0.000000000000000,-71.8806000,67.7580032
10,0.000000000000000,-71.8803024,67.7581024
11,0.000000000000000,-71.8800964,67.7582016
12,0.000000000000000,-71.8797989,67.7584000
13,0.000000000000000,-71.8796005,67.7584991
14,0.000000000000000,-71.8793030,67.7585983
15,0.000000000000000,-71.8789978,67.7586975
16,0.000000000000000,-71.8787994,67.7587967
17,0.000000000000000,-71.8785019,67.7589035
18,0.000000000000000,-71.8781967,67.7591019
19,0.000000000000000,-71.8779984,67.7592010
20,0.000000000000000,-71.8777008,67.7593002
21,0.000000000000000,-71.8774033,67.7593994
22,0.000000000000000,-71.8771973,67.7594986
23,0.000000000000000,-71.8768997,67.7595978
24,0.000000000000000,-71.8766022,67.7596970
25,0.000000000000000,-71.8764038,67.7599030
26,13.166200000000000,-71.8760986,67.7600021
27,161.825400000000000,-71.8759003,67.7601013
28,515.721700000000060,-71.8756027,67.7602005
29,781.579200000000010,-71.8752975,67.7602997
30,929.792500000000020,-71.8750992,67.7603989
31,989.139400000000020,-71.8748016,67.7605972
32,729.341099999999980,-71.8744965,67.7606964
33,774.738699999999990,-71.8742981,67.7608032
34,691.391399999999980,-71.8740005,67.7609024
35,317.352800000000000,-71.8737030,67.7610016
36,91.735500000000002,-71.8734970,67.7611008
37,11.744000000000000,-71.8731995,67.7612000
38,0.000000000000000,-71.8729019,67.7613983
39,0.000000000000000,-71.8727036,67.7614975
40,0.000000000000000,-71.8723984,67.7615967
41,0.000000000000000,-71.8722000,67.7617035
42,0.000000000000000,-71.8719025,67.7618027
43,0.000000000000000,-71.8715973,67.7619019
44,0.000000000000000,-71.8713989,67.7620010
45,0.000000000000000,-71.8711014,67.7621994
46,0.000000000000000,-71.8707962,67.7622986
47,0.000000000000000,-71.8705978,67.7623978
48,0.000000000000000,-71.8703003,67.7624969
49,0.000000000000000,-71.8700027,67.7626038
50,0.000000000000000,-71.8697968,67.7627029
51,26.036400000000000,-71.8694992,67.7628021
52,188.380200000000000,-71.8692017,67.7630005
53,243.018200000000010,-71.8690033,67.7630997
54,144.537700000000000,-71.8686981,67.7631989
55,131.294600000000000,-71.8684998,67.7632980
56,459.028099999999990,-71.8682022,67.7633972
57,602.720800000000050,-71.8678970,67.7634964
58,376.264200000000020,-71.8676987,67.7637024
59,71.192300000000003,-71.8674011,67.7638016
60,0.658899999995000,-71.8671036,67.7639008
61,0.000000000000000,-71.8668976,67.7639999
62,0.000000000000000,-71.8666000,67.7640991
63,0.000000000000000,-71.8663025,67.7641983
64,0.000000000000000,-71.8660965,67.7642975
65,0.000000000000000,-71.8657990,67.7645035
66,0.000000000000000,-71.8655014,67.7646027
67,0.000000000000000,-71.8653030,67.7647018
68,0.000000000000000,-71.8649979,67.7648010
69,0.000000000000000,-71.8647995,67.7649002
70,0.000000000000000,-71.8645020,67.7649994
71,0.000000000000000,-71.8641968,67.7651978
72,0.000000000000000,-71.8639984,67.7652969
73,0.000000000000000,-71.8637009,67.7654037
74,0.000000000000000,-71.8634033,67.7655029
75,0.000000000000000,-71.8631973,67.7656021
76,0.000000000000000,-71.8628998,67.7657013
77,0.000000000000000,-71.8626022,67.7658005
78,0.000000000000000,-71.8623962,67.7659988
79,0.000000000000000,-71.8620987,67.7660980
80,0.000000000000000,-71.8618011,67.7661972
81,0.000000000000000,-71.8616028,67.7662964
82,0.000000000000000,-71.8612976,67.7664032
83,0.000000000000000,-71.8610992,67.7665024
84,0.000000000000000,-71.8608017,67.7666016
85,0.000000000000000,-71.8604965,67.7667999
86,0.000000000000000,-71.8602982,67.7668991
87,0.000000000000000,-71.8600006,67.7669983
