lat	depth_photon	depth_ri
-7.186604638405e+01	nan	nan
-7.186613351999e+01	nan	nan
-7.186622028168e+01	nan	nan
-7.186631261863e+01	nan	nan
-7.186639995138e+01	nan	nan
-7.186648672097e+01	nan	nan
-7.186657768564e+01	nan	nan
-7.186666658246e+01	nan	nan
-7.186675352600e+01	nan	nan
-7.186684392789e+01	nan	nan
-7.186693241078e+01	nan	nan
-7.186702121512e+01	nan	nan
-7.186710866183e+01	nan	nan
-7.186719615387e+01	nan	nan
-7.186728896116e+01	nan	nan
-7.186737786675e+01	nan	nan
-7.186746618520e+01	-1.731622920998e+00	-1.291581204593e+00
-7.186755462857e+01	-1.817057505845e+00	-1.355305068879e+00
-7.186764316325e+01	-2.136649695585e+00	-1.593682177657e+00
-7.186773177254e+01	-2.000445153730e+00	-1.492090067673e+00
-7.186782044166e+01	-2.267979463587e+00	-1.691638296104e+00
-7.186790925552e+01	-2.630734952842e+00	-1.962210004357e+00
-7.186799784860e+01	-2.945302660957e+00	-2.196839457714e+00
-7.186808653975e+01	-2.532613286128e+00	-1.889023111903e+00
-7.186817520834e+01	-2.002622538335e+00	-1.493714133166e+00
-7.186826382492e+01	-1.711500072025e+00	-1.276571993753e+00
-7.186835238029e+01	-1.991870738881e+00	-1.485694591542e+00
-7.186844084351e+01	-1.375337954459e+00	-1.025835723472e+00
-7.186852921384e+01	-1.226576052259e+00	-9.148773418805e-01
-7.186861765406e+01	-1.040364362767e+00	-7.759859497031e-01
-7.186871145172e+01	-1.829857881406e+00	-1.364852600437e+00
-7.186879997440e+01	-1.878012996089e+00	-1.400770490109e+00
-7.186888718474e+01	-2.419581666259e+00	-1.804715198224e+00
-7.186897476287e+01	-2.388710674490e+00	-1.781689173185e+00
-7.186906240141e+01	-3.042383181227e+00	-2.269249780881e+00
-7.186914981804e+01	nan	nan
-7.186924203962e+01	nan	nan
-7.186933067874e+01	nan	nan
-7.186941800932e+01	nan	nan
-7.186950533402e+01	nan	nan
-7.186959650211e+01	nan	nan
-7.186968657598e+01	nan	nan
-7.186977359617e+01	nan	nan
