lat	depth_photon	depth_ri
-7.163204660005e+01	nan	nan
-7.163213409414e+01	nan	nan
-7.163222427514e+01	nan	nan
-7.163231304881e+01	nan	nan
-7.163240181541e+01	nan	nan
-7.163249048065e+01	nan	nan
-7.163257914295e+01	nan	nan
-7.163266585569e+01	nan	nan
-7.163275602838e+01	nan	nan
-7.163284433608e+01	nan	nan
-7.163293246974e+01	nan	nan
-7.163302031310e+01	nan	nan
-7.163310975445e+01	nan	nan
-7.163320231177e+01	nan	nan
-7.163328943515e+01	nan	nan
-7.163337784068e+01	nan	nan
-7.163346709831e+01	nan	nan
-7.163355278411e+01	nan	nan
-7.163364354515e+01	nan	nan
-7.163373393399e+01	nan	nan
-7.163382134803e+01	nan	nan
-7.163390888251e+01	nan	nan
-7.163400232349e+01	nan	nan
-7.163408958571e+01	nan	nan
-7.163417680743e+01	nan	nan
-7.163426414562e+01	nan	nan
-7.163435778979e+01	nan	nan
-7.163444529462e+01	nan	nan
-7.163453294765e+01	nan	nan
-7.163462055696e+01	nan	nan
-7.163470850801e+01	nan	nan
-7.163479736296e+01	nan	nan
-7.163488661111e+01	nan	nan
-7.163497887528e+01	nan	nan
-7.163506726302e+01	nan	nan
-7.163515518480e+01	nan	nan
-7.163524420851e+01	nan	nan
-7.163533331431e+01	nan	nan
-7.163542249419e+01	nan	nan
-7.163551159259e+01	nan	nan
-7.163560070490e+01	nan	nan
-7.163568719842e+01	nan	nan
-7.163577439967e+01	nan	nan
-7.163586743299e+01	nan	nan
-7.163595622753e+01	nan	nan
-7.163604474126e+01	nan	nan
-7.163613321180e+01	nan	nan
-7.163622120586e+01	nan	nan
-7.163630913092e+01	nan	nan
-7.163639899034e+01	nan	nan
-7.163648660240e+01	nan	nan
-7.163657709781e+01	nan	nan
-7.163666378416e+01	nan	nan
-7.163675531504e+01	nan	nan
-7.163684253324e+01	nan	nan
-7.163692875791e+01	nan	nan
-7.163702103769e+01	nan	nan
-7.163710722157e+01	nan	nan
-7.163719966017e+01	nan	nan
-7.163728791971e+01	nan	nan
-7.163737858330e+01	nan	nan
-7.163746518428e+01	nan	nan
-7.163755194135e+01	nan	nan
-7.163764469347e+01	nan	nan
-7.163773226713e+01	nan	nan
-7.163782011386e+01	nan	nan
-7.163790815592e+01	nan	nan
-7.163799638394e+01	nan	nan
-7.163808472194e+01	nan	nan
-7.163817316544e+01	nan	nan
-7.163826174771e+01	nan	nan
-7.163835034529e+01	nan	nan
-7.163843902098e+01	nan	nan
-7.163853148556e+01	nan	nan
-7.163861708093e+01	nan	nan
-7.163870519120e+01	nan	nan
-7.163879389429e+01	nan	nan
-7.163888551499e+01	nan	nan
-7.163897180798e+01	nan	nan
-7.163906572277e+01	nan	nan
-7.163915398452e+01	nan	nan
-7.163924208039e+01	nan	nan
-7.163932998621e+01	-1.127794402990e+00	-8.411981822854e-01
-7.163941793834e+01	-1.211857596527e+00	-9.038991545660e-01
-7.163950581538e+01	-1.162625466908e+00	-8.671779420509e-01
-7.163959370487e+01	-1.216780374381e+00	-9.075709512797e-01
-7.163968768773e+01	-1.072597622351e+00	-8.000280617224e-01
-7.163977540491e+01	-9.827888330151e-01	-7.330415700866e-01
-7.163986327244e+01	-8.998157916794e-01	-6.711537194595e-01
-7.163995077836e+01	-9.489956398028e-01	-7.078359363040e-01
-7.164003837847e+01	-9.803633037469e-01	-7.312324186969e-01
-7.164013225146e+01	-8.788471120566e-01	-6.555136212848e-01
-7.164021985600e+01	-9.062166837610e-01	-6.759280105624e-01
-7.164030749280e+01	nan	nan
-7.164039513244e+01	nan	nan
-7.164048278914e+01	nan	nan
-7.164057568149e+01	nan	nan
-7.164066440592e+01	nan	nan
-7.164075211655e+01	nan	nan
-7.164083986336e+01	nan	nan
-7.164092762278e+01	nan	nan
-7.164101540459e+01	nan	nan
-7.164110868789e+01	nan	nan
-7.164119748431e+01	-4.751666068801e+00	-3.544168023272e+00
-7.164128523357e+01	-4.462392360509e+00	-3.328404833676e+00
-7.164137314207e+01	-5.147310806820e+00	-3.839271132110e+00
-7.164146098541e+01	-5.445067381900e+00	-4.061361514060e+00
-7.164154908265e+01	-4.987014271190e+00	-3.719709309458e+00
-7.164163961332e+01	-5.694532218406e+00	-4.247432101444e+00
-7.164172526375e+01	-5.160713250028e+00	-3.849267733295e+00
-7.164181963433e+01	-5.027527536866e+00	-3.749927304293e+00
-7.164190799991e+01	nan	nan
-7.164199584687e+01	nan	nan
-7.164208372816e+01	-5.476436917201e+00	-4.084759392258e+00
-7.164217178679e+01	-5.657196058431e+00	-4.219583843090e+00
-7.164226318952e+01	-5.749708871374e+00	-4.288587209200e+00
-7.164234786422e+01	-5.512485060784e+00	-4.111646946210e+00
-7.164243681474e+01	-6.118889052978e+00	-4.563950960676e+00
-7.164252828648e+01	-6.036137017305e+00	-4.502227953535e+00
-7.164261701744e+01	-6.074145562090e+00	-4.530577729612e+00
-7.164270299047e+01	-6.406005947847e+00	-4.778105428393e+00
-7.164279219408e+01	-6.251018419888e+00	-4.662503483171e+00
-7.164288557110e+01	-6.208504331188e+00	-4.630793116423e+00
-7.164297241589e+01	-6.318851681616e+00	-4.713098889846e+00
-7.164306226943e+01	-6.565108000401e+00	-4.896776311182e+00
-7.164314753509e+01	-6.998920358398e+00	-5.220347846944e+00
-7.164323608391e+01	-6.870488465810e+00	-5.124553192966e+00
-7.164332843966e+01	-6.976466241002e+00	-5.203599791901e+00
-7.164341585159e+01	-7.109861908204e+00	-5.303096821216e+00
-7.164350334886e+01	-6.406707320648e+00	-4.778628567650e+00
-7.164359163100e+01	-6.254760940277e+00	-4.665294950606e+00
-7.164368179620e+01	-6.845593051212e+00	-5.105984225562e+00
-7.164377289592e+01	-6.377208832323e+00	-4.756626264133e+00
-7.164386069110e+01	-6.552871926227e+00	-4.887649680187e+00
-7.164394790949e+01	-6.410722650037e+00	-4.781623517593e+00
-7.164403651840e+01	-6.418773017722e+00	-4.787628117940e+00
-7.164412458858e+01	-6.388104439359e+00	-4.764753068814e+00
