lat	depth_photon	depth_ri
-7.299458560659e+01	-2.300386259452e+00	-1.715809845194e+00
-7.299467371424e+01	-2.172972745197e+00	-1.620774778248e+00
-7.299476168778e+01	-2.074825556810e+00	-1.547568849713e+00
-7.299484951401e+01	-2.202241180472e+00	-1.642605490022e+00
-7.299494337247e+01	-2.069971558796e+00	-1.543948354439e+00
-7.299503099579e+01	-2.054544921306e+00	-1.532441949210e+00
-7.299511798695e+01	-2.036351844474e+00	-1.518872114920e+00
-7.299520484618e+01	-1.983135828172e+00	-1.479179404917e+00
-7.299529702536e+01	-2.038595149820e+00	-1.520545349310e+00
-7.299538451836e+01	-1.812533073252e+00	-1.351930389537e+00
-7.299547107433e+01	-1.585341765105e+00	-1.182473159622e+00
-7.299556402429e+01	-1.345290999075e+00	-1.003424329884e+00
-7.299565047164e+01	-1.263293884749e+00	-9.422644027365e-01
-7.299573816031e+01	-1.285133240604e+00	-9.585539200448e-01
-7.299582969452e+01	-1.459956812066e+00	-1.088951153924e+00
-7.299591664438e+01	-1.629937501797e+00	-1.215736183932e+00
-7.299600353838e+01	-1.700131538412e+00	-1.268092443061e+00
-7.299609596422e+01	-1.855531081200e+00	-1.384001701499e+00
-7.299618263802e+01	-2.054460914524e+00	-1.532379290314e+00
-7.299626991618e+01	-2.282821549474e+00	-1.702708696557e+00
-7.299636076026e+01	-2.481996402953e+00	-1.851269040765e+00
-7.299645079835e+01	-1.845757864067e+00	-1.376712063897e+00
-7.299653867826e+01	-6.269402991815e-01	-4.676216149634e-01
-7.299662639277e+01	nan	nan
-7.299671642983e+01	nan	nan
-7.299680437964e+01	nan	nan
-7.299689438061e+01	nan	nan
-7.299698151405e+01	nan	nan
-7.299707255490e+01	nan	nan
-7.299716079110e+01	nan	nan
-7.299724907963e+01	nan	nan
-7.299733740064e+01	nan	nan
-7.299742598433e+01	nan	nan
-7.299751422286e+01	nan	nan
-7.299760247149e+01	nan	nan
-7.299769078548e+01	nan	nan
-7.299777907681e+01	nan	nan
-7.299786790425e+01	nan	nan
-7.299795592612e+01	nan	nan
-7.299804412784e+01	nan	nan
-7.299813445701e+01	nan	nan
-7.299822176288e+01	nan	nan
-7.299831267731e+01	nan	nan
-7.299840318114e+01	nan	nan
-7.299849259957e+01	nan	nan
-7.299858104351e+01	nan	nan
-7.299866953080e+01	nan	nan
-7.299875788057e+01	nan	nan
-7.299884650392e+01	nan	nan
-7.299893500272e+01	nan	nan
-7.299902366175e+01	nan	nan
-7.299911220282e+01	nan	nan
-7.299920064476e+01	nan	nan
-7.299928892322e+01	nan	nan
-7.299937713663e+01	nan	nan
-7.299946525805e+01	nan	nan
-7.299955326281e+01	nan	nan
-7.299964600470e+01	nan	nan
-7.299973515801e+01	nan	nan
-7.299982285974e+01	nan	nan
-7.299991028331e+01	nan	nan
-7.299999788928e+01	nan	nan
-7.300009106656e+01	nan	nan
-7.300017781911e+01	nan	nan
-7.300026669905e+01	nan	nan
-7.300035132378e+01	nan	nan
-7.300044422242e+01	nan	nan
-7.300053093178e+01	nan	nan
-7.300061769830e+01	nan	nan
-7.300070891491e+01	nan	nan
-7.300079761884e+01	nan	nan
-7.300088457947e+01	nan	nan
-7.300097375555e+01	nan	nan
-7.300106351781e+01	nan	nan
-7.300115240958e+01	nan	nan
-7.300123968908e+01	nan	nan
-7.300132762796e+01	nan	nan
-7.300141574549e+01	nan	nan
-7.300150670419e+01	nan	nan
-7.300159857914e+01	nan	nan
-7.300168559955e+01	nan	nan
-7.300177459916e+01	nan	nan
-7.300186379682e+01	nan	nan
-7.300195223995e+01	nan	nan
-7.300204074066e+01	nan	nan
-7.300212909336e+01	nan	nan
-7.300221745309e+01	nan	nan
-7.300230571537e+01	nan	nan
-7.300239399157e+01	nan	nan
-7.300248235029e+01	nan	nan
-7.300257005178e+01	nan	nan
-7.300266394378e+01	nan	nan
-7.300275148690e+01	nan	nan
-7.300283896062e+01	nan	nan
-7.300292638252e+01	nan	nan
-7.300301552127e+01	nan	nan
-7.300310717461e+01	nan	nan
-7.300319475909e+01	nan	nan
-7.300328208359e+01	nan	nan
-7.300337212103e+01	nan	nan
-7.300345855993e+01	nan	nan
-7.300355044347e+01	nan	nan
-7.300363786920e+01	nan	nan
-7.300372509368e+01	nan	nan
-7.300381528162e+01	nan	nan
-7.300390701352e+01	nan	nan
-7.300399227721e+01	nan	nan
-7.300408281067e+01	nan	nan
-7.300416827226e+01	nan	nan
-7.300425882777e+01	nan	nan
-7.300434653334e+01	nan	nan
-7.300443445940e+01	nan	nan
-7.300452613353e+01	nan	nan
-7.300461338713e+01	nan	nan
-7.300470417110e+01	nan	nan
-7.300479188906e+01	nan	nan
-7.300487975160e+01	nan	nan
-7.300496752065e+01	nan	nan
-7.300505528820e+01	nan	nan
-7.300514835783e+01	nan	nan
-7.300523561981e+01	nan	nan
-7.300532286022e+01	nan	nan
-7.300541008768e+01	nan	nan
-7.300550366269e+01	nan	nan
-7.300559083029e+01	nan	nan
-7.300567812332e+01	nan	nan
-7.300576546833e+01	nan	nan
-7.300585675609e+01	nan	nan
-7.300594423296e+01	nan	nan
-7.300603412158e+01	nan	nan
-7.300612179738e+01	nan	nan
-7.300620926470e+01	nan	nan
-7.300629825560e+01	nan	nan
-7.300638567053e+01	nan	nan
-7.300647983126e+01	nan	nan
-7.300656807570e+01	nan	nan
-7.300665637379e+01	nan	nan
-7.300674460422e+01	nan	nan
-7.300683288257e+01	nan	nan
-7.300692120529e+01	nan	nan
-7.300700950216e+01	nan	nan
-7.300710071015e+01	nan	nan
-7.300718599444e+01	nan	nan
-7.300727416438e+01	nan	nan
-7.300736490853e+01	nan	nan
-7.300745176842e+01	nan	nan
-7.300754379704e+01	nan	nan
-7.300763230267e+01	nan	nan
-7.300771759141e+01	nan	nan
-7.300780754487e+01	nan	nan
-7.300789674259e+01	nan	nan
-7.300798599975e+01	nan	nan
-7.300807266847e+01	nan	nan
-7.300816347999e+01	nan	nan
-7.300825065483e+01	nan	nan
-7.300833785256e+01	nan	nan
-7.300843124140e+01	nan	nan
-7.300851829196e+01	nan	nan
-7.300860534004e+01	nan	nan
-7.300869331398e+01	nan	nan
-7.300878564767e+01	nan	nan
-7.300887273044e+01	nan	nan
-7.300895978349e+01	nan	nan
-7.300904866990e+01	nan	nan
-7.300914014526e+01	nan	nan
-7.300922718126e+01	-6.562462196836e-01	-4.894802861815e-01
-7.300931471739e+01	-7.098101180742e-01	-5.294324741360e-01
-7.300940763836e+01	-6.323115177118e-01	-4.716278941685e-01
-7.300949497219e+01	-6.513302912877e-01	-4.858135983350e-01
-7.300958198461e+01	nan	nan
-7.300966921968e+01	nan	nan
-7.300976266678e+01	nan	nan
-7.300985005553e+01	nan	nan
-7.300993724949e+01	nan	nan
-7.301002467870e+01	nan	nan
-7.301011682035e+01	nan	nan
-7.301020587164e+01	nan	nan
-7.301029337382e+01	nan	nan
-7.301038098232e+01	nan	nan
-7.301046966144e+01	nan	nan
-7.301056054368e+01	nan	nan
-7.301064659294e+01	nan	nan
-7.301073821806e+01	nan	nan
-7.301082612070e+01	nan	nan
-7.301091422373e+01	nan	nan
-7.301100205960e+01	nan	nan
-7.301109012202e+01	nan	nan
-7.301118221193e+01	nan	nan
-7.301126995889e+01	nan	nan
-7.301135821712e+01	nan	nan
-7.301144630147e+01	nan	nan
-7.301153751307e+01	nan	nan
-7.301162582712e+01	nan	nan
-7.301171413883e+01	nan	nan
-7.301180247611e+01	nan	nan
-7.301189081580e+01	nan	nan
-7.301197911832e+01	nan	nan
-7.301206743116e+01	nan	nan
-7.301215574135e+01	nan	nan
-7.301224398353e+01	nan	nan
-7.301233229986e+01	nan	nan
-7.301242046182e+01	nan	nan
-7.301250869111e+01	nan	nan
-7.301260102279e+01	nan	nan
-7.301269101413e+01	nan	nan
