Latitude (deg),Sea Floor (m),Sea Floor + Refraction (m),Mean Sea Level (m),Sea Floor Depth (m),Sea Floor + Refraction Depth (m),Refraction Depth % Decrease
-72.87675719,209.2204132,209.2957502,209.5168,0.296386792,0.221049752,-25.41848748
-72.87676965,209.3471527,209.3902794,209.5168,0.16964729,0.1265206,-25.42138446
-72.87676968,208.8104248,208.9899588,209.5168,0.706375195,0.526841203,-25.41623679
-72.87676965,209.3740997,209.4103779,209.5168,0.142700269,0.106422059,-25.42266378
-72.87677589,209.3307648,209.3780564,209.5168,0.186035229,0.138743609,-25.42078768
-72.87678213,209.2557068,209.3220741,209.5168,0.261093213,0.194725899,-25.41901167
-72.87678837,209.081192,209.1919116,209.5168,0.435607983,0.324888421,-25.41724815
-72.87679462,208.8975525,209.0549433,209.5168,0.61924751,0.461856679,-25.41646572
-72.87679465,208.3497772,208.646383,209.5168,1.167022778,0.870417001,-25.41559456
-72.87680709,208.9249878,209.075406,209.5168,0.591812207,0.441393951,-25.41655177
-72.87680712,208.490799,208.7515646,209.5168,1.02600105,0.765235394,-25.41572993
-72.87680708,209.1081085,209.2119874,209.5168,0.408691479,0.304812642,-25.41742192
-72.87681332,209.0343628,209.1569838,209.5168,0.482437207,0.35981618,-25.41699205
-72.87681338,208.1187592,208.4740773,209.5168,1.398040845,1.042722727,-25.41543183
-72.87681334,208.7585907,208.9512981,209.5168,0.758209302,0.565501874,-25.41612557
-72.87681955,209.1889801,209.2723057,209.5168,0.327819897,0.244494257,-25.41811568
-72.87681955,209.2724915,209.334593,209.5168,0.244308545,0.182206989,-25.4193141
-72.87682585,208.1656799,208.5090733,209.5168,1.351120068,1.007726683,-25.41546038
-72.87682583,208.4950256,208.7547171,209.5168,1.021774365,0.762082905,-25.41573457
-72.87682584,208.2807465,208.5948961,209.5168,1.23605354,0.921903863,-25.41553957
-72.87682581,208.8093414,208.9891508,209.5168,0.707458569,0.527649242,-25.41623431
-72.87682582,208.6392975,208.8623228,209.5168,0.877502515,0.654477182,-25.4159195
-72.87682578,209.2950745,209.3514366,209.5168,0.221725537,0.165363364,-25.41979325
-72.87682583,208.5554657,208.7997966,209.5168,0.961334302,0.717003447,-25.41580529
-72.87683208,208.3260956,208.62872,209.5168,1.190704419,0.888080044,-25.41557499
-72.87683205,208.8001404,208.9822881,209.5168,0.716659619,0.534511881,-25.41621346
-72.87683204,208.9241943,209.0748142,209.5168,0.592605664,0.441985754,-25.41654917
-72.87683829,208.8342743,209.007747,209.5168,0.682525708,0.50905297,-25.41629366
-72.87683827,209.1778107,209.263975,209.5168,0.338989331,0.252825022,-25.41800016
-72.87683828,208.9915771,209.125072,209.5168,0.525222852,0.39172802,-25.41679799
-72.87683829,208.7824554,208.9690977,209.5168,0.734344556,0.547702259,-25.41617484
-72.87684455,208.4879456,208.7494364,209.5168,1.028854443,0.767363609,-25.41572683
-72.87684451,209.233078,209.3051963,209.5168,0.283721997,0.211603666,-25.4186606
-72.87685079,208.4361115,208.7107757,209.5168,1.08068855,0.806024279,-25.41567325
-72.87685076,209.0584259,209.1749314,209.5168,0.458374097,0.341868616,-25.41711713
-72.87685078,208.6318207,208.8567462,209.5168,0.884979321,0.660053787,-25.41590844
