Latitude (deg),Sea Floor (m),Sea Floor + Refraction (m),Mean Sea Level (m),Sea Floor Depth (m),Sea Floor + Refraction Depth (m),Refraction Depth % Decrease
-72.98949689,221.1995087,221.29686,221.5826,0.383091333,0.285739984,-25.41204677
-72.98950315,221.2886353,221.3633354,221.5826,0.293964746,0.219264575,-25.41126865
-72.98952823,221.1947174,221.2932864,221.5826,0.387882593,0.289313564,-25.41207849
-72.98952823,221.2030334,221.299489,221.5826,0.379566553,0.283111013,-25.41202296
-72.9895345,221.2424469,221.3288857,221.5826,0.340153101,0.253714337,-25.41172282
-72.98953452,220.8943329,221.0692435,221.5826,0.688267114,0.513356521,-25.41318476
-72.98953453,220.8111877,221.0072294,221.5826,0.771412256,0.575370646,-25.41333872
-72.98954705,221.1655579,221.2715377,221.5826,0.417042139,0.311062324,-25.41225573
-72.98954703,221.4318237,221.4701331,221.5826,0.15077627,0.112466896,-25.40809241
-72.98955333,220.98172,221.1344215,221.5826,0.600880029,0.448178526,-25.41297702
-72.98955333,220.8808441,221.0591828,221.5826,0.701755884,0.523417172,-25.41321223
-72.98955332,221.1163635,221.2348459,221.5826,0.466236475,0.34775411,-25.41250449
-72.98955963,220.3955688,220.6972384,221.5826,1.187031152,0.885361607,-25.413785
-72.98955962,220.716568,220.9366568,221.5826,0.866032007,0.645943153,-25.41347799
-72.9895596,220.977478,221.1312576,221.5826,0.605121973,0.451342395,-25.41298849
-72.98956594,219.7512665,220.216683,221.5826,1.831333521,1.36591702,-25.4140764
-72.98956589,220.600235,220.8498894,221.5826,0.982365015,0.732710577,-25.41361244
-72.98956588,220.8445129,221.0320851,221.5826,0.738087061,0.55051492,-25.4132812
-72.98956588,220.8085938,221.0052946,221.5826,0.77400625,0.577305387,-25.41334301
-72.98957216,220.750885,220.9622523,221.5826,0.83171499,0.620347674,-25.41343116
-72.98957215,220.9632416,221.1206393,221.5826,0.619358423,0.461960707,-25.41302585
-72.98957214,221.0982513,221.2213368,221.5826,0.484348657,0.361263151,-25.41258336
-72.98957841,221.1358795,221.249402,221.5826,0.446720483,0.333198032,-25.41241238
-72.98957847,220.0537872,220.4423193,221.5826,1.528812769,1.140280748,-25.41397018
-72.9895847,220.8312378,221.0221838,221.5826,0.751362207,0.56041624,-25.41330474
-72.98958475,219.9452972,220.3614016,221.5826,1.637302759,1.221198426,-25.41401279
-72.98958467,221.3133698,221.3817837,221.5826,0.269230249,0.200816254,-25.41096143
-72.98958472,220.4316559,220.724154,221.5826,1.150944116,0.858445952,-25.41375904
-72.98959098,220.6987152,220.9233413,221.5826,0.88388479,0.659258721,-25.41350094
-72.98959096,221.0658722,221.1971867,221.5826,0.516727808,0.385413265,-25.41271057
-72.989591,220.4033203,220.7030199,221.5826,1.179279688,0.879580147,-25.41377957
-72.98959721,221.4085541,221.4527773,221.5826,0.174045923,0.129822657,-25.40896427
-72.98959727,220.346817,220.6608767,221.5826,1.235782983,0.921723349,-25.41381769
-72.98959721,221.417511,221.4594579,221.5826,0.165089014,0.123142111,-25.40865778
-72.98960356,220.1657715,220.5258431,221.5826,1.416828516,1.056756859,-25.41391936
