Latitude (deg),Sea Floor (m),Sea Floor + Refraction (m),Mean Sea Level (m),Sea Floor Depth (m),Sea Floor + Refraction Depth (m),Refraction Depth % Decrease
-71.63928603,83.93069458,84.08520291,84.5386,0.60790542,0.453397095,-25.41650729
-71.63929231,84.02354431,84.15445527,84.5386,0.515055688,0.384144731,-25.41685495
-71.63929233,83.6322937,83.86263935,84.5386,0.906306299,0.675960647,-25.41587234
-71.63929231,83.99430847,84.13264959,84.5386,0.544291528,0.405950406,-25.41673269
-71.63929231,84.01979065,84.15165558,84.5386,0.518809351,0.386944416,-25.41683848
-71.63930488,84.04478455,84.17029739,84.5386,0.493815454,0.368302613,-25.41695285
-71.63930488,84.09803009,84.2100108,84.5386,0.44056991,0.328589199,-25.41723977
-71.63930488,83.92609406,84.08177158,84.5386,0.612505945,0.456828415,-25.41649281
-71.63930488,83.98856354,84.12836471,84.5386,0.550036462,0.410235289,-25.41671019
-71.63931116,84.02134705,84.15281643,84.5386,0.517252954,0.385783571,-25.41684528
-71.63931116,84.02780914,84.15763621,84.5386,0.510790857,0.380963789,-25.41687396
-71.63931745,84.0226593,84.15379518,84.5386,0.515940698,0.384804819,-25.41685105
-71.63932374,83.99849701,84.13577363,84.5386,0.540102991,0.402826367,-25.4167494
-71.63932373,84.038414,84.16554589,84.5386,0.500185999,0.37305411,-25.41692262
-71.63934261,83.5533905,83.80378907,84.5386,0.985209497,0.73481093,-25.41576875
-71.6393489,83.53257751,83.78826562,84.5386,1.006022485,0.750334385,-25.41574413
-71.63935515,84.0920105,84.20552106,84.5386,0.446589502,0.333078938,-25.41720391
-71.63936775,83.48786163,83.75491409,84.5386,1.050738367,0.783685913,-25.41569454
-71.63937401,83.7858963,83.9772045,84.5386,0.752703699,0.561395501,-25.41613632
-71.63937399,84.23962402,84.31561923,84.5386,0.298975977,0.222980768,-25.41850001
-71.63938029,83.81311798,83.9975079,84.5386,0.725482019,0.541092096,-25.41619477
-71.63939286,83.72383118,83.93091296,84.5386,0.814768823,0.607687035,-25.41601768
-71.63939911,84.23430634,84.31165301,84.5386,0.304293665,0.226946988,-25.41843149
