Latitude (deg),Sea Floor (m),Sea Floor + Refraction (m),Mean Sea Level (m),Sea Floor Depth (m),Sea Floor + Refraction Depth (m),Refraction Depth % Decrease
-71.86735897,94.72413635,94.79950121,95.0207,0.296563647,0.221198789,-25.41270961
-71.86736528,94.47553253,94.61407902,95.0207,0.545167468,0.406620977,-25.41356546
-71.8673653,94.2629776,94.45554405,95.0207,0.7577224,0.565155952,-25.41385185
-71.86737158,94.53383636,94.65756518,95.0207,0.486863635,0.363134822,-25.4134432
-71.86737157,94.83812714,94.88452171,95.0207,0.182572864,0.136178291,-25.41153782
-71.86737157,94.81134033,94.86454266,95.0207,0.209359668,0.15615734,-25.41192788
-71.86737788,94.67631531,94.76383369,95.0207,0.344384692,0.256866313,-25.41297023
-71.8673905,94.52667999,94.65222757,95.0207,0.494020007,0.368472432,-25.41345977
-71.86739682,94.19048309,94.40147372,95.0207,0.830216907,0.619226279,-25.41391601
-71.86739681,94.3135376,94.49325443,95.0207,0.707162402,0.527445568,-25.41379935
-71.86740313,94.22692108,94.42865114,95.0207,0.793778918,0.592048855,-25.41388524
-71.86740311,94.54247284,94.66400673,95.0207,0.478227161,0.356693271,-25.41342257
-71.86741573,94.48516083,94.62126033,95.0207,0.535539172,0.399439672,-25.41354712
-71.86742206,94.15059662,94.37172423,95.0207,0.870103381,0.648975771,-25.41394675
-71.86742836,94.15589142,94.37567338,95.0207,0.864808582,0.645026623,-25.41394284
-71.86743466,94.48819733,94.62352511,95.0207,0.532502673,0.397174887,-25.41354121
-71.86743469,93.9037323,94.18759946,95.0207,1.1169677,0.833100544,-25.41408814
-71.86743466,94.46173096,94.60378506,95.0207,0.558969043,0.416914938,-25.4135907
-71.86744097,94.46586609,94.60686927,95.0207,0.554833911,0.413830733,-25.41358328
-71.86744096,94.57508087,94.68832756,95.0207,0.445619128,0.332372436,-25.41333742
-71.867441,93.95162964,94.22332388,95.0207,1.069070361,0.797376116,-25.41406581
-71.86744099,94.08705139,94.32432876,95.0207,0.933648608,0.696371242,-25.4139903
