Time,ATL13melt WGS84,lat,lon,apparent depth (m)
31690138.9718058,73.1452,,,9.7563
31690138.9767058,78.2649,,,3.1006
31690138.9814558,77.9812,,,3.4695
31690138.9864058,78.4412,,,2.8714
31690138.9911558,77.0490,,,4.6813
31690138.9959058,79.2855,,,1.7738
31690139.0006058,78.8690,,,2.3153
31690139.0049558,79.2507,,,1.8190
31690139.0096058,79.0851,,,2.0343
31690139.0145558,79.2800,,,1.7810
31690139.0195058,77.9683,,,3.4862
31690139.0244058,76.3926,,,5.5346
31690139.0288558,78.2989,,,3.0565
31690139.0333558,78.4196,,,2.8995
31690139.0380058,78.3290,,,3.0173
31690139.0414558,79.6698,-71.86732151,67.7637949,1.2742
31690139.0433558,79.8808,-71.86744097,67.7637436,1.0000
31690139.0447558,79.0608,-71.86752938,67.76370652,2.0659
31690139.0462058,78.8659,-71.86762111,67.76366833,2.3193
31690139.0477058,77.3422,-71.86771595,67.76362865,4.3001
31690139.0492058,78.7737,-71.86781095,67.76358917,2.4393
31690139.0507558,78.6663,-71.86790914,67.76354836,2.5788
31690139.0523058,77.3568,-71.86800734,67.76350751,4.2811
31690139.0538558,78.7413,-71.86810562,67.76346672,2.4812
31690139.0554058,78.9150,-71.86820369,67.76342554,2.2555
31690139.0568558,79.3605,-71.86829544,67.763387,1.6764
31690139.0583058,78.6060,-71.86838713,67.76334831,2.6572
31690139.0597558,79.8118,-71.86847872,67.76330945,1.0896
31690139.0612058,78.8017,-71.86857029,67.76327065,2.4027
31690139.0626558,80.0070,-71.86866158,67.76323121,0.8359
31690139.0640558,79.1348,-71.8687494,67.76319237,1.9697
31690139.0653058,79.2030,-71.8688279,67.7631579,1.8811
31690139.0667058,80.6392,-71.86891533,67.76311849,0.0141
31690139.0682058,78.9324,-71.86900922,67.76307678,2.2329
31690139.0697558,78.6546,-71.869106,67.76303341,2.5941
31690139.0716558,79.7700,-71.86922461,67.76298046,1.1440
,,,,
31690139.1408058,78.3173,-71.87356583,67.7611181,3.0326
31690139.1427058,79.4284,-71.87368534,67.76106627,1.5881
31690139.1446558,79.5596,-71.87380779,67.7610122,1.4175
31690139.1466558,77.4300,-71.87393327,67.76095682,4.1860
31690139.1487558,77.5474,-71.87406483,67.76089879,4.0333
31690139.1509558,77.3300,-71.87420254,67.76083837,4.3159
31690139.1532558,76.6708,-71.87434635,67.76077569,5.1729
31690139.1682558,77.1987,-71.87529753,67.76038036,4.4867
